date,day,team,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,month,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing ,department_sweing,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_5,day_of_week_6
2015-01-01,Thursday,3,1.1900765912007638,-0.23723788925322087,0.69681623321758,45,0.0,0,0,57.5,0.753683478,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,2,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.755166667,1,0,0,0,0,1,0,0,0,1,0,0
2015-01-01,Thursday,7,0.9907832076861733,-0.10195468879894853,0.6430435480546854,38,0.0,0,0,56.0,0.800125,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,6,0.9907832076861733,0.03118115926716075,-0.7908947229558362,50,0.0,0,0,56.0,0.800381944,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,12,-0.33387785980300894,-0.11340723486915148,-0.27109209971452214,50,0.0,0,0,30.5,0.800570492,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,11,-0.33387785980300894,-0.11340723486915148,-0.27109209971452214,50,0.0,0,0,30.5,0.800570492,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-01,Thursday,1,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.8865,1,0,0,0,0,1,0,0,0,1,0,0
2015-01-01,Thursday,1,1.1900765912007638,-0.3188372800034169,0.69681623321758,45,0.0,0,0,57.5,0.750427826,1,0,0,0,0,0,1,0,0,1,0,0
2015-01-03,Saturday,7,0.9907832076861733,0.00827606712675485,0.6430435480546854,38,0.0,0,0,56.0,0.800125,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,10,0.38833210797922285,-0.3696579531899425,0.5713466345041593,56,0.0,0,0,54.0,0.787299691,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,2,-0.9975796782965537,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.782447917,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,2,0.43952673860682434,-0.1305860539744559,0.6071950912794224,45,0.0,0,0,55.0,0.75024303,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,7,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.6253125,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,9,1.1900765912007638,-0.03896568541283232,0.69681623321758,40,0.0,0,0,57.5,0.699965217,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,8,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.628333333,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,6,0.9907832076861733,0.01829704493818243,0.6430435480546854,50,0.0,0,0,56.0,0.800125,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,4,0.7887472546736758,-0.41689970572952967,2.7581024977952047,0,0.0,0,0,60.0,0.700134038,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,5,-0.31559406315029426,-0.33458453084994594,0.7505889183804746,50,0.0,0,0,31.5,0.800148649,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,10,-0.9975796782965537,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.7018125,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,12,1.0145521433347027,-0.20216446691322434,0.7505889183804746,63,0.0,0,0,59.0,0.800318644,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,11,-1.1118534073760207,-0.0625865616826259,0.32040743707731806,0,0.0,0,0,17.0,0.987880435,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,9,-0.9975796782965537,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.956270833,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,3,-1.0167776647819042,-0.0625865616826259,-0.8984400932816253,0,0.0,0,0,8.0,0.945277778,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,4,-0.9975796782965537,-0.0625865616826259,0.6071950912794224,0,0.0,0,0,20.0,0.988024691,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,1,1.1900765912007638,-0.2537009242291376,0.5175739493412648,50,0.0,0,0,56.5,0.800725314,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,3,1.1900765912007638,-0.15277536198547412,0.5892708628917909,50,0.0,0,0,54.5,0.800322936,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,8,1.0145521433347027,0.09631751504144002,0.7505889183804746,50,0.0,0,0,59.0,0.800318644,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-03,Saturday,1,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.902916667,1,0,0,0,0,1,0,0,0,0,1,0
2015-01-03,Saturday,11,-0.31559406315029426,-0.08692322208180717,0.7505889183804746,50,0.0,0,0,29.5,0.800237288,1,0,0,0,0,0,1,0,0,0,1,0
2015-01-04,Sunday,11,-0.9975796782965537,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.773333333,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,12,-0.31559406315029426,0.06410722921899423,0.7192215187021194,50,0.0,0,0,31.0,0.800030199,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,5,2.7981365068070247,-0.17353310173771697,0.7147404616052115,26,0.0,0,0,58.0,0.603432184,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,7,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.667604167,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,8,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.682708333,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,10,1.1900765912007638,0.05408625140756665,0.69681623321758,40,0.0,0,0,57.5,0.699965217,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,3,0.43952673860682434,-0.2809007211458696,0.6071950912794224,45,0.0,0,0,55.0,0.75024303,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,11,0.38833210797922285,-0.4390890137405479,0.5713466345041593,45,0.0,0,0,54.0,0.750348457,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,10,-1.0167776647819042,-0.0625865616826259,-0.07392558745057541,0,0.0,0,0,18.0,0.759228395,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,2,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.792104167,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,2,1.1900765912007638,-0.24654308293526078,0.6251193196670539,50,0.0,0,0,55.5,0.800237838,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,4,1.1900765912007638,-0.1778278065140431,-0.09184981583820692,50,0.0,0,0,55.5,0.800598058,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,8,0.9907832076861733,-0.0625865616826259,0.660967776442317,45,0.0,0,0,56.5,0.850345133,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,7,0.9907832076861733,0.07198085464225876,0.7326646899928431,60,0.0,0,0,56.5,0.850436438,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,9,1.0145521433347027,0.10848584524103065,0.7505889183804746,60,0.0,0,0,59.0,0.850569492,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,4,-1.0167776647819042,-0.0625865616826259,0.6071950912794224,0,0.0,0,0,20.0,0.861679012,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,6,-0.31559406315029426,-0.42047862637646805,0.7192215187021194,50,0.0,0,0,31.0,0.879714482,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-04,Sunday,1,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.915229167,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,9,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.931645833,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,3,-0.9975796782965537,-0.0625865616826259,-0.8984400932816253,0,0.0,0,0,8.0,0.991388889,1,0,0,0,0,1,0,0,0,0,0,1
2015-01-04,Sunday,1,1.0145521433347027,-0.06688126645895201,0.7505889183804746,63,0.0,0,0,59.0,0.800318644,1,0,0,0,0,0,1,0,0,0,0,1
2015-01-05,Monday,2,1.1900765912007638,-0.2644376861699529,0.69681623321758,50,0.0,0,0,57.5,0.800076522,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,4,1.1900765912007638,-0.2630061179111775,0.69681623321758,50,0.0,0,0,57.5,0.800076522,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,10,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.763375,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,5,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.759270833,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,5,0.6324207932929647,-0.3295740419442322,0.7147404616052115,23,0.0,0,0,58.0,0.600028736,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,3,0.43952673860682434,-0.1305860539744559,0.6071950912794224,45,0.0,0,0,55.0,0.75024303,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,7,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.676666667,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,8,-1.1118534073760207,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.664583333,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,12,-0.31559406315029426,-0.06401812994140127,0.7864373751557375,50,0.0,0,0,32.0,0.800246011,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,10,1.1900765912007638,-0.03109205998956779,0.7326646899928431,45,0.0,0,0,58.5,0.7504,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,6,-0.31559406315029426,-0.2966479719923987,0.7864373751557375,50,0.0,0,0,32.0,0.800246011,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,2,-1.0167776647819042,-0.0625865616826259,-1.0776823771579405,0,0.0,0,0,8.0,0.804416667,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,1,1.0145521433347027,0.00827606712675485,0.7505889183804746,63,0.0,0,0,59.0,0.800318644,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,11,-1.0167776647819042,-0.0625865616826259,-0.6475008958547841,0,0.0,0,0,10.0,0.939513889,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,4,-1.0167776647819042,-0.0625865616826259,-0.21731941455162757,0,0.0,0,0,16.0,0.893663194,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,3,-0.9975796782965537,-0.0625865616826259,-0.7908947229558362,0,0.0,0,0,8.0,0.875390625,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,9,1.0145521433347027,0.07198085464225876,0.7505889183804746,75,0.0,0,0,59.0,0.850569492,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,1,-1.0167776647819042,-0.0625865616826259,-0.7908947229558362,0,0.0,0,0,8.0,0.961059028,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-05,Monday,11,0.38833210797922285,-0.3209846323915799,0.06946823965047676,50,0.0,0,0,55.0,0.800250962,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,7,0.9907832076861733,0.09202281026511391,0.660967776442317,50,0.0,0,0,56.5,0.800684366,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,8,0.9907832076861733,-0.056860288647524425,0.660967776442317,38,0.0,0,0,56.5,0.800684366,1,0,0,0,0,0,1,0,0,0,0,0
2015-01-05,Monday,9,-1.1118534073760207,-0.0625865616826259,-0.7908947229558362,0,0.0,0,0,8.0,0.820833333,1,0,0,0,0,1,0,0,0,0,0,0
2015-01-06,Tuesday,12,-0.31559406315029426,-0.01820794566058947,0.22182418094534467,50,0.0,0,0,31.5,0.800140969,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,7,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.61625,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,5,0.6324207932929647,-0.22793269557118098,1.7543457080878397,35,0.0,0,0,58.0,0.649983281,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,8,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.681060606,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,11,0.38833210797922285,-0.38397363577769617,1.593027652599156,45,0.0,0,0,55.0,0.750057851,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,10,1.1900765912007638,0.05909674031328044,1.781232050669287,45,0.0,0,0,58.5,0.750545455,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,6,-0.31559406315029426,-0.1549227143736372,-0.029115016481496604,38,0.0,0,0,31.5,0.80007657,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,8,0.9907832076861733,-0.03109205998956779,1.6736866803434978,38,0.0,0,0,56.5,0.800128721,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,7,0.9907832076861733,-0.06544969820017664,1.6736866803434978,38,0.0,0,0,56.5,0.800128721,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,3,0.43952673860682434,-0.11698615551608992,1.593027652599156,50,0.0,0,0,55.0,0.800273829,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,4,1.1900765912007638,-0.14418595243282192,1.7274593655063923,50,0.0,0,0,57.5,0.800594466,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,2,1.1900765912007638,-0.29378483547484796,1.7274593655063923,50,0.0,0,0,57.5,0.800594466,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,2,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.805909091,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,10,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.809640152,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,9,1.0145521433347027,0.12781201673449813,1.8081183932507343,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,1,1.0145521433347027,0.04334948946675138,1.8081183932507343,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,1,0,0,0,0
2015-01-06,Tuesday,9,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.858143939,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,11,-0.9975796782965537,-0.0625865616826259,-0.5578797539166265,0,0.0,0,0,15.0,0.888686869,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,3,-0.9975796782965537,-0.0625865616826259,-0.8267431797310992,0,0.0,0,0,10.0,0.899166667,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,1,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.936496212,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-06,Tuesday,4,-1.0167776647819042,-0.0625865616826259,-0.03807713067531236,0,0.0,0,0,18.0,0.966781346,1,0,0,0,0,1,0,1,0,0,0,0
2015-01-07,Wednesday,3,0.43952673860682434,-0.1449017365622096,1.593027652599156,50,0.0,0,0,55.0,0.800273829,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,12,-0.31559406315029426,-0.0046080472022234685,0.3293695512711338,50,0.0,0,0,31.5,0.800246753,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,7,0.9907832076861733,-0.04326039018915842,1.6736866803434978,50,0.0,0,0,56.5,0.800128721,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,10,1.1900765912007638,0.012570771903080955,1.781232050669287,69,0.0,0,0,58.5,0.8,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,5,-0.9975796782965537,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.773333333,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,8,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.681060606,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,6,-1.1118534073760207,-0.0625865616826259,-0.8267431797310992,0,0.0,0,0,10.0,0.666515152,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,11,1.532897778439165,-0.3997208866242252,1.593027652599156,40,0.0,0,0,55.0,0.412119835,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,6,-0.33387785980300894,-0.10052312054017316,0.27559686610823925,50,0.0,0,0,30.5,0.800343766,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,5,0.6324207932929647,-0.5106674266793163,1.5392549674362614,40,0.0,0,0,58.0,0.700480831,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,4,1.1900765912007638,-0.09765998402262244,1.7274593655063923,50,0.0,0,0,57.5,0.800594466,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,1,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.951420455,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,7,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.804640152,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,10,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.805909091,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,2,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.813371212,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,4,-1.0167776647819042,-0.0625865616826259,-0.03807713067531236,0,0.0,0,0,18.0,0.827186544,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,3,-0.9975796782965537,-0.0625865616826259,-0.5578797539166265,0,0.0,0,0,15.0,0.83,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,8,0.9907832076861733,0.006128714738591797,1.6736866803434978,60,0.0,0,0,56.5,0.850136766,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,9,1.0145521433347027,0.14141191519286414,1.8081183932507343,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,1,1.0145521433347027,0.037623216431649904,1.8081183932507343,75,0.0,0,0,59.0,0.850502311,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-07,Wednesday,9,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.880530303,1,0,0,0,0,1,0,0,1,0,0,0
2015-01-07,Wednesday,2,1.1900765912007638,-0.2508377877115869,1.7274593655063923,63,0.0,0,0,57.5,0.800594466,1,0,0,0,0,0,1,0,1,0,0,0
2015-01-08,Thursday,6,-0.33387785980300894,-0.5120989949380916,3.009041695222046,50,0.0,0,0,30.5,0.800024932,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,10,1.1900765912007638,-0.04326039018915842,1.781232050669287,69,0.0,0,0,58.5,0.8,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,10,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.779791667,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,8,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.735984848,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,12,-0.31559406315029426,-0.4140365692119789,3.152435522323098,63,0.0,0,0,31.5,0.800107143,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,11,-0.9975796782965537,-0.0625865616826259,-1.095606605545572,0,0.0,0,0,5.0,0.515606061,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,11,-0.2324027883804422,-0.6008562269821646,6.378796632096772,38,0.0,0,0,54.0,0.773333333,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,5,2.5001106213677744,-0.2880585624397465,1.7005730229249452,0,0.0,0,0,57.0,0.773333333,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,7,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.681060606,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,3,0.43952673860682434,-0.19285927323118446,1.593027652599156,50,0.0,0,0,55.0,0.800273829,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,3,-0.9975796782965537,-0.0625865616826259,-0.7191978094053102,0,0.0,0,0,12.0,0.712626263,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,5,-0.9975796782965537,-0.0625865616826259,-0.21731941455162757,0,0.0,0,0,8.0,0.821354167,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,4,-1.0167776647819042,-0.0625865616826259,2.3996179300425746,0,0.0,0,0,20.0,0.919905405,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,9,1.0145521433347027,0.06410722921899423,1.8081183932507343,88,0.0,0,0,59.0,0.900215716,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,9,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.891723485,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,2,1.1900765912007638,-0.2458272988058731,1.6378382235682347,63,0.0,0,0,58.5,0.800497246,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,1,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.947689394,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,4,1.1900765912007638,-0.13201762223323127,1.781232050669287,75,0.0,0,0,58.5,0.850181818,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,7,0.9907832076861733,-0.05471293625936137,1.6736866803434978,60,0.0,0,0,56.5,0.850136766,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,8,0.9907832076861733,-0.0718917553646658,1.6736866803434978,60,0.0,0,0,56.5,0.850136766,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-08,Thursday,2,-1.0167776647819042,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.835757576,1,1,0,0,0,1,0,0,0,1,0,0
2015-01-08,Thursday,1,1.0145521433347027,0.04478105772552675,1.8081183932507343,75,0.0,0,0,59.0,0.850502311,1,1,0,0,0,0,1,0,0,1,0,0
2015-01-10,Saturday,12,-0.31559406315029426,-0.16709104457322782,0.04258189706902948,50,0.0,0,0,31.5,0.800346445,1,1,0,0,0,0,1,0,0,0,1,0
2015-01-10,Saturday,5,-0.9975796782965537,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.773333333,1,1,0,0,0,1,0,0,0,0,1,0
2015-01-10,Saturday,5,0.5236322032093119,-0.11483880312792685,0.9298312022567897,0,0.0,0,0,56.0,0.388007813,1,1,0,0,0,0,1,0,0,0,1,0
2015-01-10,Saturday,8,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.628882576,1,1,0,0,0,1,0,0,0,0,1,0
2015-01-10,Saturday,7,-1.1118534073760207,-0.0625865616826259,-0.9342885500568884,0,0.0,0,0,8.0,0.670075758,1,1,0,0,0,1,0,0,0,0,1,0
2015-01-10,Saturday,11,-0.2324027883804422,-0.27016395920505437,1.4854822822733669,38,0.0,0,0,53.0,0.673245283,1,1,0,0,0,0,1,0,0,0,1,0
2015-01-10,Saturday,3,0.43952673860682434,-0.03681833302466926,0.7505889183804746,45,0.0,0,0,56.0,0.750098351,1,1,0,0,0,0,1,0,0,0,1,0
2015-01-10,Saturday,10,1.1900765912007638,-0.03180784411895547,1.781232050669287,63,0.0,0,0,58.5,0.8,1,1,0,0,0,0,1,0,0,0,1,0
2015-01-10,Saturday,1,1.0145521433347027,0.14928554061612867,1.8081183932507343,63,0.0,0,0,59.0,0.800117103,1,1,0,0,0,0,1,0,0,0,1,0
2015-01-10,Saturday,6,-0.33387785980300894,-0.17138574934955392,0.27559686610823925,50,0.0,0,0,30.5,0.800343766,1,1,0,0,0,0,1,0,0,0,1,0
